2017-07-31 21:23:32,320 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:32,324 |http-bio-8080-exec-2 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:32,325 |http-bio-8080-exec-2 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:32,325 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-31 21:23:32,325 |http-bio-8080-exec-2 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-31 21:23:32,326 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 21:23:32,328 |http-bio-8080-exec-2 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:32,331 |http-bio-8080-exec-2 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:32,332 |http-bio-8080-exec-2 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:38:37,163 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:38:37,163 |http-bio-8080-exec-9 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:38:38,149 |http-bio-8080-exec-3 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:38:38,150 |http-bio-8080-exec-3 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:38:38,149 |http-bio-8080-exec-9 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:38:38,158 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:38:38,158 |http-bio-8080-exec-9 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:38:38,159 |http-bio-8080-exec-9 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:38:43,239 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:38:43,240 |http-bio-8080-exec-2 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:38:43,240 |http-bio-8080-exec-8 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:38:43,241 |http-bio-8080-exec-8 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:38:43,241 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:38:43,241 |http-bio-8080-exec-2 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:38:43,242 |http-bio-8080-exec-2 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:38:43,242 |http-bio-8080-exec-2 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:39:04,187 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:39:04,196 |http-bio-8080-exec-7 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:39:05,136 |ttp-bio-8080-exec-10 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:39:05,136 |http-bio-8080-exec-7 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:39:05,138 |http-bio-8080-exec-7 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:39:05,138 |ttp-bio-8080-exec-10 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:39:05,139 |http-bio-8080-exec-7 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:39:05,139 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:39:41,187 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:39:41,192 |http-bio-8080-exec-9 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:39:42,136 |http-bio-8080-exec-3 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:39:42,136 |http-bio-8080-exec-3 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:39:42,136 |http-bio-8080-exec-9 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:39:42,136 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:39:42,137 |http-bio-8080-exec-9 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:39:42,137 |http-bio-8080-exec-9 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:39:47,700 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Connecting to null database...
